Title,Location,Company,skills,wage,qualifications,work_place,job_type
Applied Researcher - GenAI,"Redmond, WA 98052 
(Overlake area)",Microsoft,N/A,"$94,300 - $182,600 a year",Computer Science,N/A,full-time
VMware Systems Engineer,"Washington, DC 20506 
(Downtown area)",GuROO,N/A,"From $120,000 a year",Computer Science,N/A,full-time
Software Engineer,"Little Elm, TX 75068",RSA Tech,N/A,N/A,N/A,N/A,N/A
Software Engineer Co-op (May-December 2024),"Middleburg Heights, OH 44130",Codonics Inc,".NET Framework, .NET Core, C# ,SQL Server, HTML5, CSS3, JavaScript",N/A,Computer Science,N/A,Full-time
"Software Engineer, Language - Generative AI","San Francisco, CA 94105 
(Financial District/South Beach area)",Meta,".NET Framework, .NET Core, C#, HTML5, CSS3, JavaScript, SQL Server","$117,000 - $173,000 a year",N/A,N/A,Full-time
"API Engineer, Workforce Benefits","Remote in Newport Beach, CA 92660",Pacific Life,N/A,N/A,Computer Science,N/A,Full-time
System Administrator,"Patuxent River Naval Air Station, MD",CTSi,N/A,"$65,653.18 - $140,000.00 a year",N/A,N/A,N/A
Data Scientist I,"Newark, NJ 07105 
(Ironbound area)",Horizon Blue Cross Blue Shield of New Jersey,N/A,N/A,N/A,N/A,N/A
PROMT ENGINEERING SPECIALISTS,Remote,Proits Hub LLC,".NET Framework, .NET Core, C#, JavaScript, HTML5, CSS3",N/A,N/A,N/A,Full-time
Embedded Software Engineer,"Eden Prairie, MN 55344",InfoObject,"Programming Languages: .NET Framework, .NET Core, C# N/A, N/A, N/A",$47 - $50 an hour,N/A,N/A,N/A
Backend Software Engineer Specialist,"Jacksonville, FL 32204 
(Mixon Town area)",FIS Global,".NET Framework, .NET Core, C#, HTML5, CSS3, JavaScript, Git, Visual Studio, SQL Server, Swagger, REST APIs",N/A,N/A,N/A,Full-time
Developer,"Glendale, CA 91203",PrimeMSOSurgicalCenters (Headquarters),".NET CORE (c#), Angular, MS SQL Data Base, HTML5, CSS3, JavaScript, JQuery, Ajax","$100,000 - $145,000 a year",N/A,N/A,full-time
Software Engineer,Remote in Illinois,GE HEALTHCARE,".NET CORE (c#), Angular, MS SQL Data Base, Visual Studio, SQL Enterprise Manager, IIS, SSRS, HTML5, CSS3, JavaScript, JQuery, Ajax",N/A,N/A,N/A,full-time
Systems Engineer Technical Specialist,"Reston, VA",Peraton,"## Programming Languages
.NET CORE (c#)
MS SQL
Angular
JavaScript
JQuery
Ajax","$112,000 - $179,000 a year",N/A,N/A,full-time
IT Radio Engineer,"Woodbridge, NJ 07095",New Jersey Turnpike Authority,".NET CORE, Angular, c#, MS SQL, Visual Studio, SQL Enterprise Manager, IIS, HTML5, CSS3, JavaScript, JQuery, Ajax","$75,000 a year",N/A,N/A,full-time
Systems Engineer,"Martinez, CA 94553",EUV Tech,".NET CORE, Angular, MS SQL, Visual Studio, SQL Enterprise Manager, IIS, SSRS, HTML5, CSS3, JavaScript, JQuery, Ajax","$90,000 - $120,000 a year",N/A,N/A,full-time
Test Engineering Software Developer,"Santa Clara, CA 95054",Oracle,"Programming Languages Needed
.NET CORE (c#)
Angular
MS SQL
HTML5
CSS3
JavaScript
JQuery
Ajax",N/A,N/A,",N/A",full-time
Software Engineer in Test,"Hybrid remote in Natick, MA",MathWorks,".NET CORE, Angular",N/A,N/A,N/A,full-time
Northeastern University Software Engineer - Application Development Co-op,"Boston, MA",Bracebridge Capital,".NET CORE, Angular, MS SQL, C#, HTML5, CSS3, JavaScript, JQuery",N/A,N/A,N/A,Full-time
Data Scientist,"Hybrid remote in Santa Clara, CA","Couchbase, Inc.",".NET CORE (c#), Angular, MS SQL, Visual Studio, HTML5, CSS3, JavaScript, JQuery, and/or Ajax",N/A,N/A,N/A,full-time
Software Product Support Engineer,"Remote in Seattle, WA",Samsara,".NET CORE, Angular, MS SQL, HTML5, CSS3, JavaScript, JQuery, Ajax",N/A,N/A,N/A,full-time
Software QA Engineer 1,"Portland, ME 04101 
(Downtown area)",WEX Inc.,".NET CORE (c#), Angular, MS SQL Data Base, HTML5, CSS3, JavaScript, JQuery, Ajax",N/A,N/A,N/A,full-time
Full Stack Java Developer Solution Specialist,"Mechanicsburg, PA",Deloitte,".NET CORE, Angular, SQL, Visual Studio, IIS, HTML5, CSS3, JavaScript, JQuery, Ajax",N/A,N/A,N/A,full-time
Silicon Engineer: Opportunities for University Students,"Raleigh, NC",Microsoft,".NET CORE, c#, MS SQL, Angular, Visual Studio, HTML5, CSS3, JavaScript, jQuery, Ajax","$76,400 - $151,800 a year",N/A,N/A,Full-time
Software Engineer II (US),"New York, NY 10017 
(Murray Hill area)",TD Bank,".NET CORE, Angular, MS SQL, Visual Studio, SQL Enterprise Manager, IIS, HTML5, CSS3, JavaScript, JQuery, Ajax",N/A,N/A,N/A,full-time
Amazon Robotics - Data Scientist (DS) Co-op - Fall 2024,"North Reading, MA 01864",Amazon.com Services LLC,".NET CORE, Angular,  MS SQL, HTML5, CSS3, JavaScript, JQuery, and/or Ajax",N/A,N/A,N/A,full-time
Software QA Engineer 1,"Portland, ME 04101 
(Downtown area)",WEX Inc.,N/A,N/A,computer science,N/A,N/A
Full Stack Java Developer Solution Specialist,"Mechanicsburg, PA",Deloitte,"C#, SQL",N/A,Computer Science,N/A,N/A
Silicon Engineer: Opportunities for University Students,"Raleigh, NC",Microsoft,"C#, SQL","$76,400 - $151,800 a year",computer science,N/A,N/A
Software Engineer II (US),"New York, NY 10017 
(Murray Hill area)",TD Bank,"C#, SQL",N/A,computer science,N/A,N/A
Amazon Robotics - Data Scientist (DS) Co-op - Fall 2024,"North Reading, MA 01864",Amazon.com Services LLC,C#,N/A,N/A,N/A,N/A
Python Engineer,"New York, NY",Accrete.AI,"C#, SQL",N/A,"Computer Science, N/A",N/A,N/A
Technical Co-Founder,Remote,Dugsi,"C#, SQL","$56,268.53 - $67,764.25 a year",computer science,N/A,N/A
Data Scientist,"Hybrid remote in Bloomington, MN 55437",National Grid Renewables,"C#, SQL",N/A,Computer Science,N/A,N/A
Senior Computer Systems Engineer,Remote,Tista Science and Technology Corporation,"C#, SQL","$117,750 - $130,000 a year",N/A,N/A,N/A
Information Assurance Systems Engineer,"Carlsbad, CA 92009 
(North Beach area)","Viasat, Inc.","C#, SQL","$136,700 - $237,800 a year",computer science,N/A,N/A
Senior Software Engineer I,"Burlington, MA",State Street,"C#, SQL",N/A,computer science,N/A,N/A
IT Systems Developer I,"Montpelier, VT 05602",State of Vermont,"C#, SQL",$24.02 an hour,Computer science,N/A,N/A
Software Quality Assurance Engineer,"Irvine, CA",Marvin Test Solutions,"C#, SQL","$80,000 - $120,000 a year",computer science,N/A,N/A
High-Performance Computing Linux Systems Engineer,"Burlington, VT 05405",University of Vermont,"C#, SQL","$65,700 - $124,800 a year",computer science,N/A,N/A
IT Systems Analyst II,"Richland, WA 99352",Gesa Credit Union,"SQL, C#",$26.54 - $39.81 an hour,computer science,N/A,N/A
2024 Intermediate Computer Science Teacher,"Seattle, WA 98125 
(Haller Lake area)",Lakeside School,"JobID,Programming Language
1810,Java","$8,300 a month","JobID: 1810, N/A","JobID,Location
1810,Summer School",Summer School
Software Engineer,"Columbus, OH 43240 
(Polaris area)",JPMorgan Chase & Co,"1810,Java",N/A,"1810,Computer Science,N/A","JobID: 1810,Position Type: Summer School,Location: In-person",Summer School
Machine Learning Research Engineer,"Dallas, TX 75243 
(Northeast Dallas area)",Texas Instruments,"JobID,Programming Language
1810,Java",N/A,"1810,Computer Science","JobID: 1810,N/A",Summer School
Software Engineer - Blueframe Platform,"Pullman, WA",Schweitzer Engineering Laboratories,"JobID,Programming Languages Needed
1810,Java",N/A,"1810,N/A","JobID: 1810,Location: Summer School,Job Type: N/A",Summer School
Software Developer,"New York, NY",Quantifi,"JobID,Programming Languages Needed
1810,Java",N/A,"1810, Computer Science, N/A","JobID,Location
1810,Summer School",Summer School
Software Engineer – Applications / Graphics / 3D,"Chapel Hill, NC",Accuray,"JobID, Programming Language
1810, Java",N/A,"JobID,College Major
1810,N/A","JobID: 1810,In-person",Summer School
"Engineer I, System Structure Design for Multiple Openings","Plano, TX 75023",Samsung Electronics,"JobID, Programming Languages Needed
1810, Java",N/A,"JobID,College_Major
1810,N/A","JobID,Job Type
1810,N/A",Summer School
"Data Engineer, Quality Data Analytics & Systems","Sparks, NV 89434",Tesla,"JobID,Programming Languages
1810,Java",N/A,"JobID,College Major
1810,N/A","JobID,Position Type,Location,Job Type
1810,Summer School,Summer School,N/A",Summer School
Software Engineer (NJUS),"Hybrid remote in Columbus, OH 43219",NetJets,"JobID,Programming Languages
1810,Java",N/A,"JobID,College Major
1810,Computer Science","JobID,Location,Type
1810,Summer School,N/A",Summer School
Software Developer,"Alpharetta, GA 30005",Logic Loops,"JobID, Programming Languages
1810, Java",N/A,"JobID: 1810, College Major: N/A","JobID,Location_Type
1810,N/A","Summer School,N/A,Internship"
Software Engineer,Remote,BRS,"JobID,Programming Languages
1810,Java",N/A,"JobID,College Major
1810,N/A","JobID,Position_Type
1810,Summer School",Summer School
Software Developer,"Madison, WI",Intone Networks,"JobID, programming_languages
1810, Java",N/A,"JobID: 1810, N/A","JobID: 1810, N/A",Summer School
Technical Writer,Remote,Veterans Engineering,"1810, Java, N/A",N/A,"JobID, College Major
1810, Computer Science","JobID,JobType
1810,N/A",Summer School
"Software Engineer, Web Infrastructure","Seattle, WA",ByteDance,"JobID,Programming Languages
1810,Java",N/A,"JobID,College Major
1810,N/A","JobID: 1810, Summer School, N/A",Summer School
Full Stack Software Developer,"Adel, IA 50003",Kuder Inc,"JobID,Programming_Languages
1810,Java",N/A,"1810, Computer Science, N/A","JobID,Location
1810,Summer School",Summer School
