Title,Location,Company,skills,wage,qualifications,work_place,job_type
Generative AI Developer,"Carlsbad, CA",Thermo Fisher Scientific,"Python, TensorFlow, PyTorch",N/A,"computer science, computer engineering, systems analysis",N/A,N/A
Ld Enterprise Architect,"Hybrid remote in Franklin, WI 53132",Northwestern Mutual,N/A,"From $121,030 a year",N/A,Hybrid,N/A
Software Engineer,"Columbus, OH 43240 
(Polaris area)",JPMorgan Chase & Co,"Java, SQL, HTTP, XML, HTML, Cucumber, Gherkin, Selenium, SOAP-UI, JIRA, Windows Server, Linux, Python, Ruby, Groovy, C++, C#, .Net, VBScript, Tomcat, GIT",N/A,N/A,Hybrid,N/A
IT Specialist,"Washington, DC",US Electronic Health Record Modernization,N/A,N/A,N/A,N/A,N/A
Computer Systems Engineer 1,"San Francisco Bay Area, CA",Lawrence Berkeley National Laboratory,N/A,"$96,000 - $143,328 a year","Computer Science, Telecommunication",Hybrid,full-time
Senior Lead Software Engineer-Backend Developer-AIML,"Jersey City, NJ 07310 
(Downtown area)",JPMorgan Chase & Co,"Python, Java, Scale, NodeJS","$171,000 - $260,000 a year",N/A,N/A,N/A
Patent Attorney / Agent / Electrical Software / Remote USA IL 2830-i,"Chicago, IL",IP Recruiter Group,N/A,N/A,"Electrical Engineering, Computer Engineering, Computer Science, or Physics",In-person,Full-time
Software Engineer II,"New York, NY",Disney Entertainment & ESPN Technology,"Python, SQL","$117,998 - $158,290 a year",N/A,N/A,N/A
Machine Learning Software Engineer,"Vancouver, WA 98661","JoeScan, Inc.","Python, C++",N/A,"Computer Science, Engineering, or a related field with a focus on machine learning or computer vision",In-person,Full-time
Silicon Engineer: Opportunities for University Students,"Raleigh, NC",Microsoft,N/A,"$76,400 - $151,800 a year","Electrical Engineering, Computer Engineering, Computer Science",N/A,N/A
2024 Intermediate Computer Science Teacher,"Seattle, WA 98125 
(Haller Lake area)",Lakeside School,"1810,Java,N/A","$8,300 a month","JobID,College Major
1810,N/A","1810,N/A",Summer School
R&D Software Engineer 1,"Tampa, FL 33634",CAE,"JavaScript, C++, C#, .NET, REACT, Angular, RESTful Services, PostgreSQL, CSS, TensorFlow, OpenCV",N/A,"Bachelor’s degree in engineering, software, or computer science",N/A,Regular
Patent Attorney / Electrical Computer / Remote USA FL 2081-i,"Miami, FL",IP Recruiter Group,N/A,N/A,"BS Electrical Engineering, Computer Engineering, Computer Science, or Physics",In-person,Full-time
Dynamics 365 Developer,"Kansas City, MO",Peruvian Connection,N/A,"$72,000 - $92,000 a year","MIS, Computer Science or related field",In-person,Full-time
Software Developer - Web,"Pleasant Prairie, WI 53158",Uline,".NET, MVC, C#, JavaScript, T-SQL, Java",N/A,"Bachelor's degree in Computer Science, Information Technology or a related field",In-person,Full-time
"Engineer I, System Structure Design for Multiple Openings","Plano, TX 75023",Samsung Electronics,"MATLAB, Python, N/A",N/A,N/A,N/A,N/A
Software Engineer,"Battle Ground, WA 98604",Signal Hound,"C++, Qt","$80,000 - $150,000 a year","computer science, electrical engineering",In-person,full-time
Data Science Opportunities,"San Diego, CA 92129 
(Torrey Highlands area)",Intuit,"Python, Scala, Java, R",N/A,N/A,N/A,N/A
"Information Technology Specialist, (Computer Specialist)","Chicago, IL",U.S. Department of Justice,N/A,"$80,994 - $105,289 a year",N/A,N/A,N/A
Patent Attorney / Computer / Software / CS EE / Remote USA 92130 3554-i,"San Diego, CA",IP Recruiter Group,N/A,"$175,000 - $275,000 a year","BS Computer Science, Computer Engineering, Electrical Engineering",Remote,full-time
Technology Specialist - Security,"Las Colinas, TX",Microsoft,N/A,$38.89 - $77.98 an hour,"Bachelor's Degree in Computer Science, Information Technology, Engineering or related field","N/A,Hybrid,N/A",N/A
Software Engineer,"Jersey City, NJ 07310 
(The Waterfront area)",JPMorgan Chase & Co,"C++, Qt","$171,000 - $215,000 a year",BS or MS in computer science or electrical engineering,In-person,Full-time
System Administrator,"Fort Meade, MD",RACTSOL Corp,"Linux, Unix, Windows","$95,000 - $180,000 a year","Computer Science, Information Systems, Engineering",In person,Full-time
Wideband Planner,"Colorado Springs, CO 80914 
(Colorado Springs Airport area)","Duetix Designs, LLC",N/A,"$90,000 - $98,000 a year",N/A,In-person,Full-time
Applied Scientist II,"Redmond, WA 98052 
(Overlake area)",Microsoft,N/A,"$94,300 - $182,600 a year",N/A,N/A,N/A
Applied Scientist II,"Redmond, WA 98052 
(Overlake area)",Microsoft,"C#, C++, Java, Python","$94,300 - $182,600 a year",N/A,N/A,N/A
Software Development Manager,"Huntsville, AL 35824",General Dynamics Information Technology,N/A,N/A,N/A,N/A,N/A
IT Technical Support Specialist,"West Deptford, NJ 08096",Telecorp Inc.,N/A,"$35,000 - $55,000 a year","Computer Science, Information Technology",In person,Full-time
IT Service Desk Specialist,Remote in Ohio,Dizer Corp.,N/A,$18 - $21 an hour,Associate's degree in Information Technology,Remote,Full-time
Technical Support Specialist,"Elkhart, IN 46516 
(Downtown area)",Integrated Technology Group,N/A,N/A,Computer Science or related field,In person,Full-time
Program Assistant I - Electrical Engineering & Computer Science,"Brookings, SD",South Dakota State University,N/A,$20.04 - $22.55 an hour,N/A,In-person,Part-time
Power Trading Analyst,"Denver, CO 80222 
(University Hills area)",Greenwich Commodities LLC,"Python, MS SQL, VBA, PowerWorld",$20 - $60 an hour,"Electrical Engineering, Computer Science, Financial Engineering, Data Science or related STEM fields",In person,"Full-time,Part-time,Internship"
Technology Project Assistant,Remote,Land Home Financial,N/A,"$65,000 - $75,000 a year",N/A,Remote,Full-time
Research Prompt Engineer,"Hybrid remote in San Francisco, CA",Anthropic,N/A,"$280,000 - $405,000 a year",N/A,Hybrid,N/A
IT Innovation Manager,"Arlington, VA",Nestlé IT,N/A,"$115,000 - $175,000 a year","computer science, data analytics, engineering, ethics",N/A,N/A
Ld Enterprise Architect,"Hybrid remote in Franklin, WI 53132",Northwestern Mutual,N/A,"From $121,030 a year",N/A,Hybrid,N/A
User Experience Developer,"Seattle, WA",Oracle,N/A,N/A,"Computer Science, Engineering",Hybrid,N/A
Research and Development Engineer Co-op,"Boston, MA 02127 
(South Boston area)",Procter & Gamble,N/A,N/A,"Mechanical Engineering, Chemical Engineering or Computer Science",In-person,Internship
Software Engineer,"New York, NY 10017 
(Midtown area)",JPMorgan Chase & Co,"Java, Maven, UNIX, Junit, Microservices, Performance Testing, Shell Scripting, Splunk, Apache Kafka, Jenkins, Kubernetes, SOAP, REST web services, Spring Framework, WebSphere, Apache Tomcat, Cassandra, Linux, Software Development, XML","$186,000 - $215,000 a year","Computer Engineering, Computer Science",Hybrid,full-time
Computer Science Curriculum Developer,"San Diego, CA 92128 
(Carmel Mountain area)",Art of Problem Solving,"C++, Java, Python",N/A,N/A,Hybrid,Full-time
Data Scientist,"Stamford, CT",Berkshire Hathaway Direct Insurance Company,"Python, R, N/A",N/A,"Computer Science, Engineering, Related field",N/A,N/A
Software Engineer,"Columbus, OH 43240 
(Polaris area)",JPMorgan Chase & Co,"Java, Maven, UNIX, Junit, Microservices, Shell Scripting, Splunk, Apache Kafka, Jenkins, Kubernetes, Spring Framework, WebSphere, Apache Tomcat, Cassandra, Linux, XML",N/A,"Computer Engineering, Computer Science",Hybrid,full-time
IT Service Manager,"Bend, OR 97703 
(Orchard District area)",Weston Technology Solutions,N/A,N/A,"Computer Science, IT, Business",In-person,Full-time
Wireless Network Engineer,"Seminole, FL 33777",Smart Communications,N/A,"$70,000 - $90,000 a year","Associate of Science degree in Information Technology, IT Security, Network Systems Technology or relevant field of study",In-person,Full-time
Data Science Analyst,"Manhattan, NY 10016 
(Gramercy area)",Greater New York Mutual Insurance Company,"R, Python, SQL, VBA",N/A,"data science, computer science, mathematics, engineering",N/A,Full-time
IT Project Manager,"Hybrid remote in Boston, MA","Osprey Software, Inc",N/A,"$110,000 - $155,000 a year","Computer Science, Engineering, Business Administration",Hybrid,Full-time
Senior Data Architect #TS999,"Lexington Park, MD 20653",CRL Technologies,N/A,N/A,"Bachelor’s Degree or higher in Computer Science, Data Science",In-person,N/A
Adjunct Instructor (Information Technology & Computer Science) - HYBRID,"Hybrid remote in Irvine, CA 92614",Westcliff University,"Programming Language,N/A",$40 - $45 an hour,"Computer Science, Data Science",In-person,Full-time
Software Engineer,"Remote in Jersey City, NJ 07310",JPMorgan Chase & Co,N/A,"$169,229 - $180,000 a year","Computer Science
Data Science",In-person,N/A
"AI/ML Architect, Generative AI Innovation Center","Dallas, TX","Amazon Web Services, Inc.",N/A,"From $105,100 a year","Computer Science, Data Science",On-site,N/A
Observatory Operations Software Engineer,"Pasadena, CA 91125 
(Pasadena area)",California Institute of Technology,N/A,N/A,"Computer Science, Data Science",In-person,Full-time
Data Scientist,"Fort Meade, MD",National Security Agency,N/A,"$79,735 - $191,900 a year","Computer Science, Data Science, or similar related field",In-person,N/A
Senior Lead Software Engineer-Backend Developer-AIML,"Jersey City, NJ 07310 
(Downtown area)",JPMorgan Chase & Co,N/A,"$171,000 - $260,000 a year","Computer Science, Data Science",In-person,N/A
Generative Artificial Intelligence Fellow,"Hanover, NH",Dartmouth College,N/A,"$66,200 - $82,800 a year","Computer Science
Data Science",In-person,N/A
Haven't found what you're looking for?,Remote,SimScale GmbH,N/A,N/A,"Computer Science
Data Science",In-person,N/A
Full Stack PHP Web Developer,"O'Fallon, MO 63368",Axiom Product Administration,N/A,N/A,"Computer Science, Data Science",In-person,N/A
Cyber Event Planner,"Huntsville, AL","Command Post Technologies, Inc.",N/A,N/A,"Computer Science, Data Science",In-person,N/A
Software Developer - Web,"Pleasant Prairie, WI 53158",Uline,N/A,N/A,"Computer Science, Data Science",In-person,Full-time
Information Technology Specialist,"Washington, DC",Contract Appeals Board,N/A,N/A,"Computer Science, Data Science",In-person,Full-time
IT Technician,"Bishop, CA 93514",Toiyabe Indian Health Project,N/A,"$42,508 - $57,254 a year","Computer Science, Data Science",In-person,N/A
Senior Software Developer - Java,"Pleasant Prairie, WI 53158",Uline,N/A,N/A,"Computer Science, Data Science",In-person,N/A
